MWorkflow;fanin;31;fanout;290;if;21;try;6;SQL queries;3;McCabe complexity;122
MMatchPO;fanin;32;fanout;336;if;45;try;15;SQL queries;8;McCabe complexity;121
X_Fact_Acct;fanin;23;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;121
X_AD_WF_Node;fanin;146;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;119
X_I_BankStatement;fanin;101;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;119
CalloutInvoice;fanin;8;fanout;335;if;38;try;4;SQL queries;5;McCabe complexity;119
X_C_Project;fanin;101;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;117
AllocationAuto;fanin;25;fanout;216;if;30;try;8;SQL queries;4;McCabe complexity;115
X_R_RequestAction;fanin;5;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;111
MSequence;fanin;1;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;110
X_C_InvoiceLine;fanin;375;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;109
MProductPricing;fanin;207;fanout;166;if;15;try;11;SQL queries;7;McCabe complexity;109
X_T_Aging;fanin;91;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;109
CostUpdate;fanin;26;fanout;264;if;28;try;10;SQL queries;6;McCabe complexity;109
Query;fanin;59;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;108
MClient;fanin;147;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;107
X_A_Asset;fanin;83;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;107
MAllocationHdr;fanin;63;fanout;299;if;26;try;7;SQL queries;3;McCabe complexity;107
X_I_Product;fanin;6;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;107
MProduct;fanin;119;fanout;293;if;32;try;6;SQL queries;3;McCabe complexity;106
MPaySelectionCheck;fanin;16;fanout;503;if;29;try;10;SQL queries;5;McCabe complexity;105
MLookup;fanin;2;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;105
MLead;fanin;50;fanout;380;if;23;try;0;SQL queries;0;McCabe complexity;104
InOutGenerate;fanin;11;fanout;232;if;28;try;3;SQL queries;1;McCabe complexity;104
X_AD_Column;fanin;117;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;103
MPeriod;fanin;112;fanout;222;if;19;try;5;SQL queries;4;McCabe complexity;103
MMovement;fanin;38;fanout;344;if;31;try;5;SQL queries;2;McCabe complexity;103
WebLogin;fanin;23;fanout;189;if;39;try;0;SQL queries;0;McCabe complexity;102
X_M_DiscountSchemaLine;fanin;20;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;101
MColumn;fanin;20;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;101
X_I_BPartner;fanin;121;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;100
POInfo;fanin;3;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;100
TimeUtil;fanin;147;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;99
MLocation;fanin;23;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;99
Msg;fanin;905;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;98
MJournalBatch;fanin;48;fanout;307;if;21;try;3;SQL queries;1;McCabe complexity;97
X_GL_Distribution;fanin;90;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;96
MGoal;fanin;27;fanout;201;if;15;try;8;SQL queries;4;McCabe complexity;96
MAcctSchemaElement;fanin;3;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;96
MInOutConfirm;fanin;34;fanout;278;if;35;try;3;SQL queries;1;McCabe complexity;95
ImportOrder;fanin;0;fanout;588;if;26;try;3;SQL queries;3;McCabe complexity;94
ProcessInfo;fanin;98;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;93
MAcctSchema;fanin;61;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;93
MWFNode;fanin;52;fanout;195;if;20;try;2;SQL queries;2;McCabe complexity;93
ScheduleUtil;fanin;13;fanout;443;if;24;try;5;SQL queries;5;McCabe complexity;93
MDocBaseType;fanin;4;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;92
X_AD_User;fanin;219;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;90
ViewImportFromDB;fanin;8;fanout;152;if;52;try;3;SQL queries;1;McCabe complexity;90
MInventory;fanin;32;fanout;322;if;28;try;3;SQL queries;1;McCabe complexity;89
CLogMgt;fanin;27;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;89
X_M_InOutLine;fanin;373;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;88
X_PA_ReportColumn;fanin;61;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;88
X_I_Locator;fanin;12;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;88
MStore;fanin;22;fanout;204;if;17;try;14;SQL queries;5;McCabe complexity;87
MAttachment;fanin;12;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;87
