Class,FanIn,FanOut,If,Try,SQL,McCabe
X_C_BP_BankAccount,87,0,0,0,0,70
MAsset,28,169,9,6,3,70
X_AD_ClientInfo,9,0,0,0,0,70
RequisitionPOCreate,8,136,13,2,1,70
VolumeTest,5,211,13,4,2,70
MPrintFormatItem,2,0,0,0,0,70
MSession,107,0,0,0,0,69
MTemplate,13,116,23,4,3,69
Language,55,0,0,0,0,68
ReplicationLocal,21,201,11,9,6,68
MCashLine,18,203,15,2,2,68
WebEnv,15,1009,5,3,0,68
MMovementConfirm,14,184,24,3,1,68
UIWindowVO,3,0,0,0,0,68
X_AD_Field,1,0,0,0,0,68
ProjectIssue,6,186,2,0,0,67
ImportGLJournal,0,512,13,4,2,67
X_M_Inventory,90,0,0,0,0,66
X_AD_ComponentReg,51,0,0,0,0,66
RModel,17,116,4,0,0,66
DistributionRun,9,244,20,0,0,66
GridWorkbench,5,86,1,2,2,66
CompierePLAF,2,0,0,0,0,66
X_C_Cash,61,0,0,0,0,65
Compiere,44,0,0,0,0,65
X_CM_CStage,30,0,0,0,0,65
MProject,29,153,8,7,3,64
MAttributeSet,25,109,15,8,4,64
ConcreteElement,21,0,0,0,0,64
TranslationMgr,14,142,11,6,5,64
X_AD_Process,13,0,0,0,0,64
OFXBankStatementHandler,7,58,25,5,0,64
MLanguage,4,0,0,0,0,64
X_C_ValidCombination,136,0,0,0,0,63
ImpFormatRow,26,73,9,4,0,63
X_I_Inventory,21,0,0,0,0,63
MergeProcess,11,163,29,9,10,62
RModelData,5,132,12,2,1,62
X_I_ElementValue,5,0,0,0,0,62
ModelValidationEngine,62,0,0,0,0,61
X_CM_Container,47,0,0,0,0,61
FileUtil,8,89,22,1,0,61
X_M_CostDetail,117,0,0,0,0,60
X_GL_JournalBatch,110,0,0,0,0,60
X_M_Movement,75,0,0,0,0,60
MDocTypeCounter,26,123,9,2,1,60
CContext,11,0,0,0,0,60
X_C_RfQResponse,75,0,0,0,0,59
MRequestType,19,131,12,6,3,59
CTreeNode,17,0,0,0,0,59
X_AD_Process_Para,5,0,0,0,0,59
TrialBalance,3,265,7,0,0,59
X_M_Requisition,54,0,0,0,0,58
X_AD_Client,47,0,0,0,0,58
MMedia,18,82,7,6,3,58
X_PA_Goal,60,0,0,0,0,57
MProjectLine,20,160,14,0,0,57
X_C_AcctSchema_Element,4,0,0,0,0,57
CalloutPayment,2,198,22,3,3,57
MReportLine,32,109,7,2,1,56
MTimeExpense,23,134,7,5,2,56
Lookup,16,0,0,0,0,56
Evaluator,14,0,0,0,0,56
ChangeLogProcess,12,173,20,4,2,56
X_GL_JournalLine,86,0,0,0,0,55
X_AD_Schedule,82,0,0,0,0,55
X_C_Tax,72,0,0,0,0,55
MPaymentValidate,43,84,12,6,0,55
MReportColumn,42,115,6,0,0,55
X_C_ProjectPhase,39,0,0,0,0,55
X_T_Replenish,29,0,0,0,0,55
X_M_Product_PO,27,0,0,0,0,55
MProcess,7,0,0,0,0,55
X_M_CostUpdate,7,0,0,0,0,55
MLocatorLookup,6,0,0,0,0,55
ChangeVO,109,0,0,0,0,54
X_C_BP_Group,32,0,0,0,0,54
MRequisition,25,150,8,3,1,54
MInvoiceBatchLine,17,97,15,2,1,54
X_AD_ComponentRegUpdate,11,0,0,0,0,54
X_C_ElementValue,7,0,0,0,0,54
X_T_InvoiceGL,6,0,0,0,0,54
X_M_InventoryLine,115,0,0,0,0,53
X_C_BankStatement,85,0,0,0,0,53
X_M_BOMProduct,39,0,0,0,0,53
MCostElement,35,0,0,0,0,53
X_C_PaymentTerm,23,0,0,0,0,53
X_W_Advertisement,8,0,0,0,0,53
MMatchInv,7,120,8,11,6,53
X_AD_PrintFormat,7,0,0,0,0,53
X_M_InOutConfirm,56,0,0,0,0,52
MRfQResponse,22,119,7,2,1,52
X_M_Product_Costing,17,0,0,0,0,52
MTimeExpenseLine,15,111,17,1,1,52
BOMValidate,11,174,14,6,3,52
X_S_ResourceType,7,0,0,0,0,52
input,5,0,0,0,0,52
TableCreateColumns,4,163,17,0,0,52
X_M_MatchPO,113,0,0,0,0,51
X_C_Recurring,48,0,0,0,0,51
X_C_DunningLevel,25,0,0,0,0,51
MCStage,14,134,8,6,3,51
td,256,0,0,0,0,50
X_AD_WF_Activity,109,0,0,0,0,50
X_C_AllocationHdr,95,0,0,0,0,50
AssetDelivery,3,145,10,2,1,50
SvrProcess,2554,0,0,0,0,49
WebSessionCtx,20,122,14,0,0,49
X_AD_Color,15,0,0,0,0,49
PrintUtil,2,0,0,0,0,49
ImportBPartner,0,409,21,1,1,49
X_C_CashLine,110,0,0,0,0,48
X_AD_WF_EventAudit,29,0,0,0,0,48
Scriptlet,29,194,9,6,0,48
X_C_CommissionLine,29,0,0,0,0,48
X_M_Transaction,24,0,0,0,0,48
X_AD_EntityType,21,0,0,0,0,48
MAllocationLine,17,102,13,0,0,48
MAttachmentEntry,11,0,0,0,0,48
X_C_Country,2,0,0,0,0,48
X_RV_WarehousePrice,1,0,0,0,0,48
InvoicePrint,0,142,19,1,1,48
X_M_AttributeSet,61,0,0,0,0,47
X_PA_ReportLine,58,0,0,0,0,47
X_C_ProjectTask,23,0,0,0,0,47
X_AD_Registration,16,0,0,0,0,47
X_M_Locator,12,0,0,0,0,47
CalloutInvoiceBatch,8,94,12,3,2,47
X_C_BankStatementLoader,5,0,0,0,0,47
InvoiceNGL,3,145,6,2,1,47
InventoryCountCreate,1,99,9,2,1,47
ColumnSync,1,133,21,3,1,47
ImportBankStatement,0,281,16,2,3,47
X_M_MovementLine,107,0,0,0,0,46
X_C_AllocationLine,90,0,0,0,0,46
X_PA_Measure,41,0,0,0,0,46
X_A_Asset_Delivery,24,0,0,0,0,46
MBOMProduct,23,174,14,6,3,46
X_I_Conversion_Rate,18,0,0,0,0,46
X_CM_Ad,10,0,0,0,0,46
X_M_CostUpdateLine,4,0,0,0,0,46
MMailText,83,110,10,2,1,45
X_C_PaySelectionLine,77,0,0,0,0,45
X_AD_Element,8,0,0,0,0,45
InvoiceWriteOff,6,136,12,2,1,45
ImportPayment,0,328,3,1,1,45
RequestUpdate,0,93,5,2,1,45
X_M_MatchInv,31,0,0,0,0,44
X_PA_ReportSource,19,0,0,0,0,44
MIndex,18,93,10,3,3,44
MBPBankAccount,13,59,13,4,2,44
MAttributeSetInstance,10,87,14,2,1,44
MLocator,7,0,0,0,0,44
ImportAccount,3,304,19,6,6,44
ImportProduct,0,282,11,5,6,44
X_M_Cost,131,0,0,0,0,43
ResponseVO,38,0,0,0,0,43
X_I_Contact,24,0,0,0,0,43
X_R_RequestProcessor,15,0,0,0,0,43
MPaymentAllocate,10,158,11,3,2,43
PriceListCreate,5,130,12,2,3,43
X_C_DunningRunLine,65,0,0,0,0,42
X_S_TimeExpense,48,0,0,0,0,42
X_C_TaxDeclarationLine,25,0,0,0,0,42
X_AD_Replication,24,0,0,0,0,42
X_AD_ChangeLog,15,0,0,0,0,42
X_AD_InfoColumn,14,0,0,0,0,42
MDistributionLine,12,61,4,0,0,42
a,11,0,0,0,0,42
