Class,FanIn,FanOut,If,Try,SQL,McCabe
MLoginMsg,3,33,0,3,1,20
DocWorkflowManager,2,50,6,2,1,20
Obscure,1,0,0,0,0,20
X_C_SubAcct,1,0,0,0,0,20
MDataMigrationEntry,0,38,5,2,1,20
ColumnEncryption,0,69,9,0,0,20
FieldType,42,0,0,0,0,19
MWFResponsible,18,55,1,0,0,19
X_GL_Category,12,0,0,0,0,19
MPriceListVersion,10,50,3,2,1,19
X_C_ProjectType,9,0,0,0,0,19
b,3,0,0,0,0,19
X_C_Activity,2,0,0,0,0,19
MMenu,2,0,0,0,0,19
MSort,2,0,0,0,0,19
X_CM_ChatType,1,0,0,0,0,19
PP_PayFlowPro,1,107,1,0,0,19
MPrivateAccess,1,0,0,0,0,19
X_M_ReturnPolicyLine,1,0,0,0,0,19
MLot,1,34,0,6,3,19
InventoryCountUpdate,1,43,3,2,1,19
MAcctProcessor,0,30,1,4,2,19
X_M_ProductDownload,21,0,0,0,0,18
MDistributionRunDetail,18,36,3,2,1,18
X_R_ContactInterest,17,0,0,0,0,18
X_CM_MediaDeploy,15,0,0,0,0,18
MBankStatementLoader,14,116,7,1,0,18
X_AD_Image,11,0,0,0,0,18
UserPricingVO,7,0,0,0,0,18
MAcctSchemaDefault,6,0,0,0,0,18
X_AD_IndexColumn,6,0,0,0,0,18
X_M_AttributeValue,5,0,0,0,0,18
X_M_DistributionList,5,0,0,0,0,18
MAchievement,4,33,1,2,1,18
X_PA_SLA_Criteria,4,0,0,0,0,18
X_M_PackageLine,4,0,0,0,0,18
MAdvertisement,3,22,2,0,0,18
X_C_Dunning,3,0,0,0,0,18
EnvLoader,3,35,1,2,0,18
X_AD_CtxArea,3,0,0,0,0,18
MProductBOM,2,66,3,2,1,18
InvoiceBatchProcess,2,70,3,0,0,18
X_C_RfQ_TopicSubscriberOnly,2,0,0,0,0,18
CalloutTimeExpense,0,49,4,1,2,18
TranslationImportExport,0,36,2,0,0,18
ImportInOutConfirm,0,86,4,2,1,18
RegisterSystem,0,132,2,3,0,18
CalloutProject,0,45,7,0,0,18
X_M_AttributeInstance,23,0,0,0,0,17
X_AD_Org,16,0,0,0,0,17
MBankAccount,13,19,5,0,0,17
X_C_CashBook,11,0,0,0,0,17
MCashBook,10,36,1,2,1,17
X_AD_Replication_Log,8,0,0,0,0,17
X_C_Year,8,0,0,0,0,17
X_AD_Replication_Run,7,0,0,0,0,17
X_S_ResourceUnAvailable,5,0,0,0,0,17
DocumentTypeVerify,4,41,3,4,2,17
ProcessInfoLog,3,0,0,0,0,17
TransactionXRef,3,16,0,0,0,17
X_K_IndexLog,3,0,0,0,0,17
MRfQLineQty,2,37,1,2,1,17
MUserRoles,2,0,0,0,0,17
MBPartnerProduct,2,25,8,2,1,17
X_C_RfQ_Topic,1,0,0,0,0,17
X_R_Category,1,0,0,0,0,17
X_M_Shipper,1,0,0,0,0,17
X_C_BankStatementMatcher,1,0,0,0,0,17
X_C_BP_Status,1,0,0,0,0,17
MWorkflowProcessor,0,32,0,4,2,17
InvoiceCreateInOut,0,47,1,0,0,17
MRequestAction,26,54,3,0,0,16
X_M_InOutLineMA,21,0,0,0,0,16
X_R_StatusCategory,10,0,0,0,0,16
MWFEventAudit,7,28,2,2,1,16
MContainerElement,6,34,2,2,1,16
X_M_ReturnPolicy,6,0,0,0,0,16
ExtensionFileFilter,6,12,1,0,0,16
X_AD_SchedulerRecipient,4,0,0,0,0,16
MCommissionDetail,4,23,2,0,0,16
X_C_TaxCategory,4,0,0,0,0,16
MGLCategory,3,22,3,2,1,16
MLandedCost,3,52,2,2,1,16
ProjectGenOrder,2,45,2,0,0,16
MInfoWindow,2,28,2,2,1,16
TemporaryDelete,1,20,2,2,1,16
CalloutBankStatement,1,23,3,1,1,16
ResultTableCellRenderer,1,24,6,2,0,16
MAlertRule,1,45,2,0,0,16
MField,1,0,0,0,0,16
RfQCreateSO,0,59,5,0,0,16
InOutCreateInvoice,0,34,1,0,0,16
MProjectIssue,9,46,5,0,0,15
X_A_RegistrationValue,8,0,0,0,0,15
MNote,5,0,0,0,0,15
MCharge,4,15,2,1,1,15
MCommission,4,27,1,2,1,15
X_C_TaxPostal,4,0,0,0,0,15
MNewsChannel,3,45,1,2,1,15
X_AD_TreeNodeCMS,3,0,0,0,0,15
GwtTest,3,43,5,0,0,15
MigrateData,2,34,2,4,2,15
X_AD_TreeNodeCMC,2,0,0,0,0,15
Trace,2,0,0,0,0,15
X_AD_TreeNodeMM,1,0,0,0,0,15
InventoryValue,0,101,2,0,0,15
MWFNodePara,19,27,1,2,1,14
FinReportPeriod,17,22,0,0,0,14
MMediaDeploy,8,24,1,2,1,14
MAcctSchemaGL,5,0,0,0,0,14
MClickCount,5,18,1,2,1,14
MWebProject,4,31,2,0,0,14
X_PA_ReportLineSet,4,0,0,0,0,14
X_AD_Scheduler_Para,4,0,0,0,0,14
MSLAGoal,4,23,1,2,1,14
X_PA_ReportColumnSet,3,0,0,0,0,14
RoleAccessUpdate,2,26,1,2,1,14
X_M_LotCtlExclude,2,0,0,0,0,14
MimeType,2,0,0,0,0,14
KeyNamePair,2,0,0,0,0,14
X_M_SerNoCtlExclude,2,0,0,0,0,14
X_M_AttributeSetExclude,2,0,0,0,0,14
MAttributeInstance,2,10,4,0,0,14
MProductCosting,2,20,1,4,2,14
MRfQTopicSubscriber,2,21,0,2,1,14
MHierarchy,2,20,0,0,0,14
X_C_POSKeyLayout,1,0,0,0,0,14
X_R_Resolution,1,0,0,0,0,14
PrintFormatUtil,1,0,0,0,0,14
ProjectPhaseGenOrder,0,64,1,0,0,14
EntityTypeComponent,0,30,0,1,0,14
RfQCreate,0,23,2,0,0,14
DeliveryAccuracy,0,36,2,2,1,14
MBPRelation,0,26,0,4,2,14
X_M_InventoryLineMA,17,0,0,0,0,13
MProductPrice,7,23,1,2,1,13
MRegistrationValue,7,15,1,0,0,13
MBankStatementMatcher,6,16,0,3,1,13
MCStageElement,4,19,2,2,1,13
MSLACriteria,4,23,0,3,1,13
MAssetGroup,4,14,1,2,1,13
MInOutLineMA,4,25,0,2,1,13
MAd,3,24,0,2,1,13
MResource,2,19,2,0,0,13
MTreeNodeCMC,2,0,0,0,0,13
meta,2,0,0,0,0,13
MCommissionRun,2,22,2,2,1,13
X_R_StandardResponse,1,0,0,0,0,13
TranslationDocSync,1,43,1,2,1,13
CommissionAPInvoice,0,55,0,0,0,13
CopyOrder,0,33,1,0,0,13
TableCreateSub,0,41,2,0,0,13
CalloutPaymentAllocate,0,54,4,1,1,13
MPOS,0,24,5,0,0,13
ProductUOMConvert,0,20,0,0,0,13
X_M_MovementLineMA,17,0,0,0,0,12
MLdapUser,14,0,0,0,0,12
X_C_Calendar,7,0,0,0,0,12
MCalendar,6,23,0,0,0,12
MReportLineSet,5,23,1,2,1,12
MNewsItem,5,39,3,0,0,12
MPaySelection,5,26,2,2,1,12
MReportColumnSet,5,23,1,2,1,12
MProductCategoryAcct,5,32,0,2,1,12
MLandedCostAllocation,4,16,1,2,1,12
X_AD_Form_Access,3,0,0,0,0,12
MInvoiceBatch,3,19,1,2,1,12
MInventoryLineMA,3,25,0,2,1,12
X_AD_Workflow_Access,3,0,0,0,0,12
X_M_AttributeUse,2,0,0,0,0,12
MDiscountSchemaBreak,2,33,0,0,0,12
MMovementLineMA,2,25,0,2,1,12
MTask,2,37,0,1,0,12
X_AD_FieldGroup,1,0,0,0,0,12
CCachedRowSet,1,0,0,0,0,12
MTreeNodeCMS,1,0,0,0,0,12
MPOSKeyLayout,1,20,0,2,1,12
CalloutRequest,0,22,2,2,2,12
ProjectSetType,0,29,1,0,0,12
OrderRePrice,0,30,2,0,0,12
RoleMakeSysAdmin,0,29,2,0,0,12
MOrgInfo,14,0,0,0,0,11
MCurrency,13,0,0,0,0,11
MReport,8,23,2,0,0,11
MMovementLineConfirm,6,28,1,0,0,11
FastByteArrayOutputStream,4,19,1,0,0,11
SessionEndAll,2,13,0,0,0,11
MChatEntry,1,8,4,0,0,11
MExpenseType,1,13,2,0,0,11
WFProcessManage,0,28,3,0,0,11
LanguageMaintenance,0,24,5,0,0,11
WFActivityManage,0,28,3,0,0,11
MUserMail,0,2,3,0,0,11
PeriodControlStatus,0,30,0,0,0,11
DataMigrationIncludeClient,0,24,0,0,0,11
WorkflowMoveToClient,0,20,0,0,0,11
CopyImportFormat,0,26,0,0,0,11
InvoicePayScheduleValidate,0,21,1,0,0,11
ComponentRemove,0,19,0,1,0,11
WindowCopy,0,22,1,0,0,11
PackageCreate,0,20,0,0,0,11
CalloutAssignment,0,22,2,1,1,11
DataMigrationCreate,0,25,1,1,0,11
head,10,0,0,0,0,10
MDunningLevel,4,23,0,2,1,10
MPaySchedule,2,12,3,0,0,10
X_AD_User_Roles,2,0,0,0,0,10
ResultTableCellEditor,0,2,0,0,0,10
DataMigrationPreview,0,22,2,1,0,10
FastByteArrayInputStream,0,2,0,0,0,10
CalloutCashJournal,0,43,5,1,1,10
ReportLineSet_Copy,0,15,1,0,0,10
TabCopy,0,22,0,0,0,10
ValueNamePair,8,0,0,0,0,9
UIWindowVOFactory,2,0,0,0,0,9
MRegistrationAttribute,2,14,1,2,1,9
PP_Optimal,2,94,1,1,0,9
html,2,0,0,0,0,9
ResultTableModel,2,9,0,0,0,9
MDistributionList,1,22,1,2,1,9
MSLAMeasure,1,16,1,0,0,9
X_AD_Role_OrgAccess,1,0,0,0,0,9
MDataMigrationPreview,1,14,1,0,0,9
MLoginMsgLog,0,11,0,0,0,9
RfQCopyLines,0,43,0,0,0,9
PaymentOnline,0,32,1,0,0,9
DataMigrationImport,0,14,0,1,0,9
MTransaction,0,17,1,0,0,9
MChangeRequest,0,14,3,0,0,9
CalloutPaySelection,0,29,1,1,1,9
MComponentRegUpdate,0,8,0,2,1,9
LeadProject,0,16,0,0,0,9
BPartnerOrgUnLink,0,17,0,0,0,9
MCostUpdate,0,23,0,2,1,9
PeriodStatus,0,33,0,0,0,9
TabCreateFields,0,31,1,2,1,9
BankStatementMatchInfo,14,0,0,0,0,8
MProductPO,4,11,1,2,1,8
MTaxCategory,3,9,1,2,1,8
MPeriodControl,3,17,1,0,0,8
UIFieldVOFactory,2,0,0,0,0,8
MTreeNodeMM,2,0,0,0,0,8
MRequestUpdate,1,7,0,0,0,8
MDistributionRun,1,16,0,2,1,8
MProjectTypePhase,1,15,1,2,1,8
LoadBankStatement,0,29,1,0,0,8
ProductCategoryAcctCopy,0,14,0,0,0,8
KIndexRerun,0,17,0,0,0,8
OrderOpen,0,14,1,0,0,8
CalloutRequisition,0,34,1,0,0,8
BPGroupAcctCopy,0,26,0,0,0,8
ReportColumnSet_Copy,0,14,0,0,0,8
CostCreate,0,10,0,0,0,8
MSchedulerPara,13,19,0,0,0,7
MAlertRecipient,6,13,0,0,0,7
MFactAcct,4,29,0,0,0,7
ASyncWorker,1,10,0,1,0,7
MPackage,1,6,1,0,0,7
MIndexStop,1,9,1,0,0,7
MRfQTopic,1,15,0,2,1,7
MAttributeUse,1,6,0,0,0,7
MImpFormat,1,15,0,2,1,7
LeadBPartner,0,12,0,0,0,7
MResourceType,0,4,1,0,0,7
CopyFromProject,0,14,0,0,0,7
CopyFromJournal,0,14,0,0,0,7
MWebProjectDomain,0,8,0,2,1,7
SLAMeasureProcess,0,30,0,0,0,7
MAssetDelivery,0,1,2,0,0,7
OFXFileBankStatementLoader,0,9,5,1,0,7
ImportDelete,0,13,0,0,0,7
ProjectLinePricing,0,33,0,0,0,7
CopyFromOrder,0,14,0,0,0,7
MResourceAssignment,0,18,1,0,0,7
InOutCreateConfirm,0,13,0,0,0,7
MProjectTask,0,11,1,0,0,7
RequestReOpen,0,15,0,0,0,7
CopyFromInvoice,0,12,0,0,0,7
CommissionCopy,0,16,0,0,0,7
CThreadUtil,9,0,0,0,0,6
HtmlCode,8,17,0,0,0,6
SLACriteria,7,11,1,0,0,6
MIndexColumn,4,11,0,0,0,6
MDistributionListLine,3,0,0,0,0,6
GwtServerUtil,2,18,0,2,2,6
MSerNoCtl,1,12,1,0,0,6
MLotCtl,1,14,1,0,0,6
MChatType,0,3,0,0,0,6
BPPaymentAllocCleanup,0,11,0,0,0,6
MInfoColumn,0,14,3,0,0,6
NoteDelete,0,6,0,0,0,6
SLAGoalProcess,0,23,0,0,0,6
RMIUtil,0,1,0,2,0,6
MCampaign,0,6,1,0,0,6
RfQClose,0,13,0,0,0,6
RfQResponseInvite,0,10,0,0,0,6
MediaDirectDeploy,0,14,1,0,0,6
MPaymentBatch,0,2,1,0,0,6
ProjectClose,0,15,1,0,0,6
MValRule,0,4,0,0,0,6
MProductionLine,0,7,1,0,0,6
MGroup,3,3,0,0,0,5
MSource,2,3,0,0,0,5
MPackageLine,1,4,1,0,0,5
MResolution,1,3,0,0,0,5
MRequestCategory,1,3,0,0,0,5
UITabVOFactory,1,0,0,0,0,5
LeadRequest,0,11,0,0,0,5
DistributionVerify,0,11,0,0,0,5
MResourceUnAvailable,0,9,1,0,0,5
SessionEnd,0,13,0,0,0,5
MActivity,0,6,0,0,0,5
RfQResponseCComplete,0,10,0,0,0,5
CalloutProduct,0,6,0,0,0,5
MWFBlock,0,3,0,0,0,5
PaymentTermValidate,0,11,0,0,0,5
MTaxDeclaration,0,8,0,0,0,5
MWithholding,0,2,0,0,0,5
LandedCostDistribute,0,9,0,0,0,4
MCtxArea,0,1,1,0,0,4
Recurring,0,9,0,0,0,4
CacheClearServer,0,8,0,0,0,4
DiscountSchemaReSeq,0,8,0,0,0,4
MAccessProfile,0,0,0,0,0,4
EMailTest,0,18,1,0,0,4
MatchPODelete,0,9,0,0,0,4
MatchInvDelete,0,9,0,0,0,4
DocTypeCounterValidate,0,9,0,0,0,4
WorkflowValidate,0,8,0,0,0,4
TemplateValidate,0,8,0,0,0,4
CStageValidate,0,8,0,0,0,4
MForm,0,2,1,0,0,4
CacheClearAll,0,8,0,0,0,4
YearCreatePeriods,0,9,0,0,0,4
PP_PayPal,2,5,0,0,0,3
MReplication,1,1,0,0,0,3
MLdapAccess,1,1,0,0,0,3
DeepCopy,1,12,0,1,0,3
MReportView,0,2,0,0,0,3
MFieldGroup,0,8,0,0,0,3
MBPStatus,0,2,0,0,0,3
CalloutProduction,0,8,0,0,0,3
MAttributeValue,0,1,0,0,0,3
CalloutMovement,0,8,0,0,0,3
MGoalRestriction,0,8,0,0,0,3
MDunning,0,2,0,0,0,3
ValidateOrg,0,11,0,0,0,3
GWTServerContext,9,2,0,0,0,2
MReplicationRun,1,1,0,0,0,2
CalloutTemplate,0,2,1,0,0,2
SchedulerRun,0,7,0,0,0,2
PP_Authorize,0,1,0,0,0,2
CacheReset,0,2,0,0,0,2
InfoWindowValidate,0,1,0,0,0,2
CacheResetWeb,0,2,0,0,0,2
RemoteSetupVO,1,0,0,0,0,1
RemoteMergeDataVO,0,0,0,0,0,1
RemoteUpdateVO,0,0,0,0,0,1
model,5535,9954,0,0,0,0
xhtml,514,0,0,0,0,0
util,398,131,0,0,0,0
wf,117,580,0,0,0,0
BankStatementLoaderInterface,56,0,0,0,0,0
process,56,6,0,0,0,0
DocAction,55,0,0,0,0,0
org,39,0,0,0,0,0
,26,0,0,0,0,0
framework,25,0,0,0,0,0
impexp,25,93,0,0,0,0
report,24,57,0,0,0,0
core,22,143,0,0,0,0
plaf,12,0,0,0,0,0
FTPClient,11,0,0,0,0,0
tools,11,33,0,0,0,0
Server,9,0,0,0,0,0
BankVerificationInterface,9,0,0,0,0,0
vos,9,0,0,0,0,0
Document,8,0,0,0,0,0
cm,8,4,0,0,0,0
compiere,8,117,0,0,0,0
CompiereDatabase,8,0,0,0,0,0
Node,6,0,0,0,0,0
controller,6,0,0,0,0,0
Element,6,0,0,0,0,0
swing,5,0,0,0,0,0
Attributes,5,0,0,0,0,0
multipart,5,0,0,0,0,0
BankStatementMatcherInterface,4,0,0,0,0,0
sax,4,0,0,0,0,0
HttpMethodBase,4,0,0,0,0,0
print,3,0,0,0,0,0
ASyncProcess,3,0,0,0,0,0
DataStatusListener,2,0,0,0,0,0
esb,2,3,0,0,0,0
SocketClient,2,0,0,0,0,0
Callout,2,0,0,0,0,0
HttpClient,2,0,0,0,0,0
ftp,2,0,0,0,0,0
SAXException,2,0,0,0,0,0
LoginMsgInterface,2,0,0,0,0,0
HttpConnectionParams,1,0,0,0,0,0
FTP,1,0,0,0,0,0
ReplenishInterface,1,0,0,0,0,0
DefaultHttpParams,1,0,0,0,0,0
UserPricingInterface,1,0,0,0,0,0
ServerHome,1,0,0,0,0,0
methods,1,0,0,0,0,0
HttpStatus,1,0,0,0,0,0
httpclient,1,0,0,0,0,0
sla,1,1,0,0,0,0
HttpConnectionManager,1,0,0,0,0,0
EntityEnclosingMethod,1,0,0,0,0,0
CompiereProcessorLog,0,0,0,0,0,0
WMSRuleIntf,0,0,0,0,0,0
CompiereProcessor,0,0,0,0,0,0
ContentHandler,0,0,0,0,0,0
