X_AD_Sequence	PO	4.0
X_C_AcctProcessorLog	PO	4.0
MNewsItem	X_CM_NewsChannel	2.0
InvoiceGenerate	X_C_InvoiceLine	9.0
NaturalAccountMap	Ctx	2.0
TreeMaintenance	MTreeNode	1.0
MMovementLineConfirm	X_M_MovementLineConfirm	24.0
MWFActivity	Util	4.0
ScheduleUtil	MUOMConversion	1.0
MInvoiceBatchLine	X_C_Charge	1.0
ExpenseAPInvoice	X_C_Invoice	14.0
HtmlCode	GenericElement	4.0
MAttribute	MAttributeValue	1.0
i	Printable	4.0
MStore	X_W_Store	43.0
MRfQResponse	MBPartner	2.0
DiscountSchemaReSeq	CompiereUserException	2.0
MBPartner	MBPBankAccount	1.0
AllocationReset	SvrProcess	7.0
DunningPrint	MUser	1.0
GridTab	Evaluatee	4.0
CopyOrder	SvrProcess	8.0
MProductionLine	Ctx	1.0
MInventoryLine	MAttributeSet	2.0
MProduct	X_M_Product_Category	5.0
MInOut	MOrgInfo	1.0
MPriceList	X_M_PriceList	13.0
TreeMaintenance	SvrProcess	10.0
MOrder	X_C_Order	344.0
MDunningRun	MDunningRun	3.0
MJournalBatch	Msg	2.0
CalloutOrder	MUOMConversion	11.0
CalloutOrder	Ini	1.0
FinStatement	Language	2.0
MPaymentValidate	CLogger	2.0
MBankAccount	X_C_BankAccount	12.0
WindowCopy	MWindow	2.0
ProjectGenOrder	PO	2.0
MProductPricing	CLogger	2.0
AllocationAuto	X_C_AllocationLine	3.0
ResultTableCellEditor	RColumn	4.0
MInOutConfirm	MInvoiceLine	3.0
WebUser	X_AD_User	37.0
ProjectGenOrder	ProcessInfoParameter	1.0
MInvoiceLine	MInOutLine	10.0
MCharge	X_C_AcctSchema	1.0
MInOutConfirm	CLogger	3.0
InvoiceWriteOff	ProcessInfoParameter	12.0
MAsset	X_A_Asset	59.0
MRfQResponseLineQty	X_C_RfQResponseLineQty	13.0
MMovement	NamePair	4.0
SLAGoalProcess	ProcessInfoParameter	1.0
MProjectType	MProjectType	1.0
PeriodControlStatus	MPeriodControl	1.0
MInvoicePaySchedule	X_C_InvoicePaySchedule	21.0
X_M_BOMProduct	PO	4.0
ChangeLogProcess	ProcessInfoParameter	5.0
MBOMProduct	X_M_BOM	4.0
tr	KeyEvents	4.0
label	PageEvents	4.0
CommissionCalc	MCommissionDetail	3.0
OrderPOCreate	X_C_OrderLine	14.0
MPeriod	MCalendar	1.0
ProjectLinePricing	MProjectLine	1.0
NaturalAccountMap	CLogger	2.0
X_M_MovementLine	PO	4.0
X_CM_Container_Element	PO	4.0
MWFProcess	MWFNodeNext	1.0
b	KeyEvents	4.0
MWFNode	MWorkflow	5.0
MProject	X_C_Project	41.0
BPGroupAcctCopy	CompiereSystemException	2.0
PaymentOnline	MPayment	5.0
StorageCleanup	MRefList	1.0
MBPartnerLocation	MLocation	3.0
ColumnEncryption	X_AD_Column	13.0
InOutGenerate	MStorage	1.0
DunningRunCreate	X_C_DunningRunEntry	2.0
MMedia	MMediaServer	1.0
MContactInterest	DB	1.0
SendMailText	MClient	5.0
MComponentReg	Util	1.0
Element	ElementRegistry	4.0
MAlertProcessor	DB	4.0
DunningPrint	X_C_DunningRunEntry	11.0
InvoiceWriteOff	PO	13.0
MInvoiceLine	X_R_Request	10.0
MChangeRequest	Msg	2.0
InvoiceNGL	InvoiceNGL	3.0
option	KeyEvents	4.0
MAcctProcessor	MAcctProcessorLog	1.0
X_C_PeriodControl	PO	4.0
MDistributionRunDetail	PO	1.0
MInfoWindow	MInfoColumn	1.0
TemplateValidate	SvrProcess	7.0
MAttribute	CLogger	2.0
GridWindow	tr	6.0
TreeMaintenance	MTreeNodeCMS	1.0
ProjectIssue	X_M_InOutLine	11.0
InvoiceBatchProcess	MInvoiceBatch	2.0
InvoiceCreateInOut	X_M_InOutLine	3.0
MOrderTax	MOrderLine	1.0
WebEnv	table	72.0
MProjectLine	X_C_ProjectPhase	1.0
SLAGoalProcess	PO	3.0
ReplicationLocal	MReplication	4.0
SLAMeasureProcess	ProcessInfoParameter	1.0
AssetDelivery	SvrProcess	19.0
NaturalAccountMap	X_C_ElementValue	2.0
FinStatement	SvrProcess	25.0
X_AD_WF_Node_Para	PO	4.0
ImportContact	X_C_Lead	3.0
MMovementConfirm	MMovementLineConfirm	6.0
X_C_CommissionRun	PO	4.0
InventoryCountCreate	MInventory	3.0
MStorage	MLocator	1.0
MAssetGroup	CLogger	2.0
MCostDetail	MCostElement	21.0
DataMigrationCreate	Util	1.0
TemporaryDelete	DB	1.0
MPrintColor	X_AD_PrintColor	4.0
CalloutPaymentAllocate	CLogger	2.0
CalloutInvoice	MPaymentTerm	1.0
InOutGenerate	SvrProcess	13.0
MPriceList	X_C_Currency	1.0
ProjectIssue	MProject	6.0
MProductPricing	MPriceList	1.0
X_M_AttributeSetInstance	PO	4.0
X_AD_ComponentRegUpdate	PO	4.0
MRegistration	DB	2.0
MInOutConfirm	X_M_Inventory	3.0
MDistributionRunDetail	CLogger	2.0
MCash	ModelValidationEngine	2.0
MOrder	MInOut	10.0
MSetup	MLocation	4.0
MMediaDeploy	X_CM_Media_Server	1.0
MWFProcess	MWorkflow	3.0
MPaySelectionCheck	CLogger	2.0
GwtTest	CLogger	2.0
TreeMaintenance	MTreeNodePR	1.0
MPaySelectionCheck	MPayment	19.0
GwtTest	Ctx	1.0
MDunningRunEntry	DB	2.0
MStore	Msg	1.0
TaxDeclarationCreate	X_C_TaxDeclarationLine	1.0
X_PA_ReportColumnSet	PO	4.0
SLAMeasureProcess	PO	4.0
MCStageElement	CLogger	2.0
X_K_IndexStop	PO	4.0
X_AD_Replication_Run	PO	4.0
InventoryCountCreate	X_M_AttributeSet	1.0
MAttributeSet	X_M_AttributeSet	38.0
MPriceListVersion	TimeUtil	1.0
CalloutPaymentAllocate	MPayment	1.0
MBankStatementMatcher	BankStatementMatcherInterface	2.0
MChat	GenericElement	1.0
MStorage	PO	21.0
MReplication	X_AD_Replication	5.0
MBPartnerProduct	CLogger	2.0
MReturnPolicy	MProduct	1.0
head	MultiPartElement	4.0
MMovement	X_M_MovementConfirm	2.0
MInOutLine	CLogger	5.0
MWarehousePrice	X_M_PriceList	1.0
BPartnerValidate	Msg	5.0
TableCreateSub	SvrProcess	10.0
MGoal	PO	17.0
MBPRelation	MBPRelation	2.0
MStorage	CLogger	3.0
MInOut	MDocTypeCounter	3.0
MPaySelectionCheck	MBPBankAccount	2.0
DataMigrationImport	ProcessInfoParameter	2.0
MSchedule	X_AD_Schedule	77.0
X_CM_Chat	PO	4.0
MLdapProcessor	MAssetDelivery	1.0
WebEnv	comment	2.0
X_C_LandedCost	PO	4.0
RequisitionPOCreate	MRequisition	1.0
MInvoice	MMatchPO	1.0
body	MouseEvents	4.0
ImportBankStatement	X_C_BankStatementLine	25.0
MIndex	Trx	2.0
MCStageElement	MCStage	3.0
ReplenishReport	X_M_Warehouse	12.0
MBank	MBank	2.0
MRfQResponse	TimeUtil	3.0
MPAttributeLookup	Lookup	4.0
ComponentProduct	X_M_PriceList	1.0
MPaymentAllocate	DB	1.0
CalloutPaymentAllocate	Ctx	5.0
InvoicePrint	MPrintFormat	3.0
MPaymentBatch	MPaySelection	1.0
InventoryCountCreate	X_M_InventoryLine	8.0
DistributionCreate	MDistributionList	3.0
Tax	X_C_TaxPostal	3.0
RfQCopyLines	MRfQLineQty	1.0
X_RV_WarehousePrice	PO	4.0
MReportColumnSet	PO	2.0
MMovementLine	MMovement	3.0
ImportContact	SvrProcess	16.0
WebLogin	X_C_BP_BankAccount	7.0
MInOutConfirm	DocumentEngine	2.0
WebProjectDeploy	MMediaServer	2.0
TrialBalance	PO	1.0
GridTable	SecureEngine	2.0
MMovement	DB	2.0
EMailTest	MClient	1.0
ReplicationLocal	ProcessInfoParameter	2.0
MProductPrice	CLogger	2.0
MContainerElement	X_CM_Container_Element	11.0
TabCopy	PO	3.0
MWorkflowProcessorLog	X_AD_WorkflowProcessorLog	7.0
MCalendar	MCalendar	3.0
MStatusCategory	CLogger	2.0
MInOutLineConfirm	MInOutLineConfirm	1.0
InOutCreateInvoice	X_M_InOut	3.0
PriceListCreate	X_M_Product_PO	3.0
WebSessionCtx	Language	6.0
X_C_Invoice	PO	4.0
